Province,ISO3
Beijing Municipality,CHN-BJ
Tianjin Municipality,CHN-TJ
Hebei Province,CHN-HE
Shanxi Province,CHN-SX
Inner Mongolia Autonomous Region,CHN-NM
Liaoning Province,CHN-LN
Jilin Province,CHN-JL
Heilongjiang Province,CHN-HL
Shanghai Municipality,CHN-SH
Zhejiang Province,CHN-ZJ
Jiangsu Province,CHN-JS
Guangdong Province,CHN-GD
Guangxi Zhuang Autonomous Region,CHN-GX
Hainan Province,CHN-HI
Chongqing  Municipality,CHN-CQ
Anhui Province,CHN-AH
Fujian Province,CHN-FJ
Sichuan Province,CHN-SC
Gansu Province,CHN-GS
Guizhou Province,CHN-GZ
Yunnan Province,CHN-YN
Qinghai Province,CHN-QH
Ningxia Hui Autonomous Region,CHN-NX
Xinjiang Uyghur Autonomous Region,CHN-XJ
Tibet Autonomous Region,CHN-XZ
Shaanxi Province,CHN-SN
Shandong Province,CHN-SD
Henan Province,CHN-HN
Hubei Province,CHN-HB
Hunan Province,CHN-HN
Jiangxi Province,CHN-JX
